task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-94,completed,7,16.77,3.04,4.00,6100.00,1278.73,6096.00,6096.96,0.96,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6"
task-66,completed,7,31.34,628.22,4928.00,6118.00,247.10,1190.00,5489.78,4299.78,"rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-6-5,rack-7-0"
task-69,completed,1,40.74,1677.16,2268.00,6414.00,1002.74,4146.00,4736.84,590.84,rack-5-0
task-63,completed,8,17.41,1161.90,4156.00,6483.00,244.27,2327.00,5321.10,2994.10,"rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-5-6,rack-5-7,rack-6-6,rack-6-7"
task-9,completed,13,6.57,1131.55,1356.00,6795.00,534.79,5439.00,5663.45,224.45,"rack-4-7,rack-5-0,rack-5-1,rack-5-2,rack-5-3,rack-5-4,rack-5-5,rack-6-5,rack-7-1,rack-7-2,rack-7-3,rack-7-6,rack-7-7"
task-85,completed,8,17.47,194.57,195.00,6876.00,1419.40,6681.00,6681.43,0.43,"rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-4,rack-2-5,rack-2-6,rack-2-7"
task-18,completed,3,14.24,1577.46,1578.00,7086.00,1697.81,5508.00,5508.54,0.54,"rack-7-4,rack-7-5,rack-7-6"
task-39,completed,12,27.41,217.81,218.00,7753.00,936.46,7535.00,7535.19,0.19,"rack-4-6,rack-4-7,rack-5-4,rack-5-5,rack-5-6,rack-5-7,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-6-5"
task-58,completed,6,5.30,1532.42,1533.00,7860.00,919.01,6327.00,6327.58,0.58,"rack-4-0,rack-4-1,rack-4-2,rack-4-3,rack-4-6,rack-4-7"
task-73,completed,9,31.31,1634.69,5969.00,8382.00,459.51,2413.00,6747.31,4334.31,"rack-1-6,rack-1-7,rack-2-6,rack-2-7,rack-3-6,rack-3-7,rack-4-3,rack-4-4,rack-4-5"
task-77,completed,1,8.49,1243.84,1244.00,8399.00,1701.64,7155.00,7155.16,0.16,rack-4-6
task-43,completed,8,18.15,970.62,3322.00,8635.00,878.89,5313.00,7664.38,2351.38,"rack-2-4,rack-2-5,rack-3-3,rack-3-4,rack-3-5,rack-7-1,rack-7-2,rack-7-3"
task-41,completed,8,2.42,105.97,106.00,8718.00,1277.04,8612.00,8612.03,0.03,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7"
task-91,completed,1,8.69,321.42,322.00,8840.00,1747.02,8518.00,8518.58,0.58,rack-0-7
task-76,completed,6,44.99,769.84,5969.00,9061.00,997.51,3092.00,8291.16,5199.16,"rack-3-3,rack-3-4,rack-3-5,rack-4-0,rack-4-1,rack-4-2"
task-47,completed,4,5.52,1441.07,1442.00,9411.00,1313.50,7969.00,7969.93,0.93,"rack-5-0,rack-5-1,rack-5-4,rack-5-5"
task-89,completed,3,58.08,1154.67,9061.00,9901.00,509.63,840.00,8746.33,7906.33,"rack-3-3,rack-3-4,rack-3-5"
task-6,completed,9,11.02,605.87,606.00,10494.00,1723.41,9888.00,9888.13,0.13,"rack-1-2,rack-1-3,rack-1-4,rack-1-5,rack-1-6,rack-2-4,rack-2-5,rack-2-6,rack-2-7"
task-10,completed,12,35.49,82.48,83.00,10874.00,1271.18,10791.00,10791.52,0.52,"rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5"
task-98,completed,10,34.16,1196.87,9061.00,10917.00,353.39,1856.00,9720.13,7864.13,"rack-1-7,rack-4-0,rack-4-1,rack-4-2,rack-4-6,rack-6-5,rack-7-3,rack-7-4,rack-7-5,rack-7-6"
task-93,completed,11,27.31,208.16,209.00,11078.00,1771.78,10869.00,10869.84,0.84,"rack-3-7,rack-4-0,rack-4-1,rack-4-2,rack-4-3,rack-4-4,rack-4-5,rack-4-6,rack-4-7,rack-5-4,rack-5-5"
task-56,completed,16,10.98,1743.68,5398.00,11080.00,541.11,5682.00,9336.32,3654.32,"rack-1-7,rack-2-0,rack-2-1,rack-2-2,rack-2-3,rack-2-6,rack-2-7,rack-3-0,rack-3-1,rack-5-0,rack-5-1,rack-5-2,rack-5-3,rack-5-4,rack-5-5,rack-7-1"
task-81,completed,4,22.51,1574.48,2926.00,11127.00,1012.19,8201.00,9552.52,1351.52,"rack-3-0,rack-3-1,rack-3-6,rack-7-4"
task-78,completed,5,33.64,1048.52,3435.00,11331.00,1503.93,7896.00,10282.48,2386.48,"rack-0-0,rack-0-1,rack-6-6,rack-6-7,rack-7-0"
task-64,completed,15,20.34,130.58,131.00,11408.00,1355.84,11277.00,11277.42,0.42,"rack-0-0,rack-0-1,rack-0-2,rack-0-3,rack-0-4,rack-0-5,rack-0-6,rack-0-7,rack-1-0,rack-1-1,rack-1-2,rack-1-3,rack-1-4,rack-1-5,rack-1-6"
task-31,completed,7,10.86,970.88,971.00,11410.00,1374.89,10439.00,10439.12,0.12,"rack-3-7,rack-4-4,rack-4-5,rack-4-6,rack-4-7,rack-5-6,rack-5-7"
task-37,completed,9,32.61,1735.85,6118.00,11536.00,1095.80,5418.00,9800.15,4382.15,"rack-5-2,rack-5-3,rack-6-0,rack-6-1,rack-6-2,rack-6-3,rack-6-4,rack-6-5,rack-7-7"
task-28,completed,6,28.32,1576.54,3633.00,11598.00,1717.33,7965.00,10021.46,2056.46,"rack-2-4,rack-2-5,rack-7-1,rack-7-2,rack-7-3,rack-7-5"
