task_id,status,num_gpus,memory_per_gpu,submission_time,start_time,completion_time,estimated_duration,actual_duration,jct,wait_time,allocated_gpus
task-78,completed,5,33.64,1048.52,1049.00,9576.00,1503.93,8527.00,8527.48,0.48,rack-2-4
task-9,completed,13,6.57,1131.55,1132.00,9704.00,534.79,8572.00,8572.45,0.45,rack-1-5
task-84,completed,11,47.38,1205.83,1206.00,10808.00,746.97,9602.00,9602.17,0.17,rack-4-0
task-94,completed,7,16.77,3.04,4.00,11215.00,1278.73,11211.00,11211.96,0.96,rack-0-0
task-37,completed,9,32.61,1735.85,1736.00,11766.00,1095.80,10030.00,10030.15,0.15,rack-4-3
task-43,completed,8,18.15,970.62,971.00,11789.00,878.89,10818.00,10818.38,0.38,rack-2-1
task-54,completed,6,23.98,477.37,478.00,11879.00,1773.70,11401.00,11401.63,0.63,rack-0-3
task-25,completed,13,36.56,452.55,453.00,12253.00,847.81,11800.00,11800.45,0.45,rack-1-4
task-56,completed,16,10.98,1743.68,1744.00,12512.00,541.11,10768.00,10768.32,0.32,rack-3-5
task-41,completed,8,2.42,105.97,106.00,12570.00,1277.04,12464.00,12464.03,0.03,rack-0-0
task-92,completed,9,4.22,622.24,623.00,12644.00,1077.86,12021.00,12021.76,0.76,rack-1-1
task-97,completed,10,31.41,587.13,588.00,12815.00,1203.74,12227.00,12227.87,0.87,rack-1-6
task-85,completed,8,17.47,194.57,195.00,12980.00,1419.40,12785.00,12785.43,0.43,rack-0-2
task-28,completed,6,28.32,1576.54,1577.00,13266.00,1717.33,11689.00,11689.46,0.46,rack-4-0
task-19,completed,11,14.33,1592.43,1593.00,13666.00,903.62,12073.00,12073.57,0.57,rack-3-5
task-31,completed,7,10.86,970.88,971.00,13852.00,1374.89,12881.00,12881.12,0.12,rack-2-2
task-39,completed,12,27.41,217.81,218.00,14339.00,936.46,14121.00,14121.19,0.19,rack-0-7
task-8,completed,9,48.81,965.21,966.00,14797.00,1316.22,13831.00,13831.79,0.79,rack-2-7
task-49,completed,14,12.64,1574.07,1575.00,15000.00,838.10,13425.00,13425.93,0.93,rack-3-4
task-16,completed,8,41.71,1396.80,1397.00,15084.00,1518.70,13687.00,13687.20,0.20,rack-1-5
task-29,completed,9,58.37,913.83,914.00,15391.00,1373.91,14477.00,14477.17,0.17,rack-2-5
task-17,completed,8,49.66,722.10,723.00,15588.00,1451.03,14865.00,14865.90,0.90,rack-2-2
task-96,completed,11,38.14,224.33,225.00,16280.00,1197.46,16055.00,16055.67,0.67,rack-0-7
task-44,completed,16,16.09,732.71,733.00,16304.00,856.62,15571.00,15571.29,0.29,rack-1-3
task-11,completed,8,46.84,1539.57,1540.00,16459.00,1773.55,14919.00,14919.43,0.43,rack-4-5
task-65,completed,15,38.03,179.97,180.00,16577.00,1017.76,16397.00,16397.03,0.03,rack-0-4
task-4,completed,14,14.79,1456.97,1457.00,17855.00,1064.79,16398.00,16398.03,0.03,rack-0-6
task-6,completed,9,11.02,605.87,606.00,18439.00,1723.41,17833.00,17833.13,0.13,rack-1-1
task-10,completed,12,35.49,82.48,83.00,18764.00,1271.18,18681.00,18681.52,0.52,rack-0-1
task-68,completed,10,37.48,1177.16,1178.00,19196.00,1777.15,18018.00,18018.84,0.84,rack-3-2
task-33,completed,12,52.97,553.53,554.00,19575.00,1498.68,19021.00,19021.47,0.47,rack-2-0
task-93,completed,11,27.31,208.16,209.00,21161.00,1771.78,20952.00,20952.84,0.84,rack-0-5
task-55,completed,15,18.54,1314.91,1315.00,22280.00,1256.90,20965.00,20965.09,0.09,rack-2-5
task-64,completed,15,20.34,130.58,131.00,23895.00,1355.84,23764.00,23764.42,0.42,rack-0-1
task-99,completed,13,41.28,1107.93,1108.00,24461.00,1626.02,23353.00,23353.07,0.07,rack-2-3
task-87,completed,15,22.28,1568.38,1569.00,25735.00,1478.76,24166.00,24166.62,0.62,rack-2-7
task-90,completed,13,41.41,596.07,597.00,26336.00,1520.15,25739.00,25739.93,0.93,rack-2-1
task-53,completed,16,29.92,1624.40,1625.00,27370.00,1557.72,25745.00,25745.60,0.60,rack-4-1
task-22,completed,12,14.72,917.15,918.00,28442.00,1795.59,27524.00,27524.85,0.85,rack-2-1
task-35,completed,16,49.33,958.87,959.00,30360.00,1760.59,29401.00,29401.13,0.13,rack-2-6
